89,Kaseem,Frederick,892394826,02041990,F,070312,Porsche,9099869353
90,Lucas,Shannon,904571226,07271994,M,070323,Edythe,9426719920
91,Bruno,Key,908831944,05271995,F,070324,Season,9454450005
92,Kelsey,Spence,919073891,10051992,M,070325,Chang,9480020651
93,Jaquelyn,Daugherty,919957368,02101987,F,070340,Anne,9501687731
94,Damon,Brewer,936815019,08101980,F,070342,Teresia,9541267633
95,Hayley,Bartlett,950260286,08111986,M,070355,Irina,9556204306
96,Allen,Gibbs,953707638,01081988,F,070360,Kimber,9679313580
97,Kai,Burton,976779628,08261994,M,070370,Alina,9746183825
98,Sylvia,Berry,978593776,09261995,F,070372,Felipa,9763668218
99,Craig,Patrick,983796434,08231986,M,070375,Annetta,9870759264
100,Allistair,Snow,985378943,03251992,F,070380,Ryan,9953465365
